name,description,tagline,website_url,source_code,ideas_link,contributor_guidance_url,license,logo_url,categories,tech_tags,topic_tags,contact_links,direct_comm_methods,social_comm_methods,ideas_link_type,ideas_link_file,ideas_link_word_count
Graphite,"Graphite is an in-development raster and vector graphics editing suite that's free and open source. It is powered by a node graph compositing engine that fuses layers with nodes, bringing a procedural approach to the workflows of artists, designers, and animators ranging from students and hobbyists to creative professionals and studios.

Over time, Graphite intends to evolve into the ""everything app"" across all the common 2D creative disciplines— a versatile tool for graphic design, photo manipulation, digital painting, motion graphics, desktop publishing, and generative art (both procedural and AI).

The three-year-old project is being rapidly developed by a global team of volunteers, composed mostly of students, who are passionate about crafting high-quality code that will transform and democratize the 2D creative industry.

The mission of Graphite strives to unshackle the creativity of every budding artist and seasoned professional by building the best comprehensive art and design tool that's accessible to all. Mission success will come when Graphite is an industry standard. A cohesive product vision and focus on innovation over imitation is the strategy that will make that possible.",Redefining state‑of‑the‑art graphics editing,https://graphite.rs,https://github.com/GraphiteEditor/Graphite,https://graphite.rs/volunteer/guide/projects/student-projects/,https://graphite.rs/volunteer/guide/projects/student-projects/#google-summer-of-code,Apache-2.0,https://summerofcode.withgoogle.com/media/org/graphite-labs/p5x1ehnbihaxxqoq-360.png,"End user applications, Media","rust, typescript, ai, webgpu, stable diffusion","graphics, computational geometry, rendering, design, animation","https://discord.graphite.rs, contact@graphite.rs, https://twitter.com/GraphiteEditor/, https://graphite.rs/blog/graphite-internships-announcing-participation-in-gsoc-2024/","https://discord.graphite.rs, contact@graphite.rs","https://twitter.com/GraphiteEditor/, https://graphite.rs/blog/graphite-internships-announcing-participation-in-gsoc-2024/",Webpage,Graphite.txt,3433
GNU Project,"GNU is an operating system that is free software—that is, it respects users' freedom. The GNU operating system consists of GNU packages (programs specifically released by the GNU Project) as well as free software released by third parties. The development of GNU made it possible to use a computer without software that would trample your freedom.

The GNU Project is the organization of maintainers and developers, webmasters, translators, and other contributors, that develop the more than 400 programs conforming the GNU OS.",Development of the GNU Operating System,https://www.gnu.org,https://savannah.gnu.org,https://www.gnu.org/software/soc-projects/ideas-2024.html,https://www.gnu.org/software/soc-projects,GPL-3.0,https://summerofcode.withgoogle.com/media/org/gnu-project/pm4yf7e7gm2jjyir.png,"Operating systems, Development tools","c, c++, gcc, autotools","tools, toolchain, command line, OS, binary tools","summer-of-code@gnu.org, https://planet.gnu.org",summer-of-code@gnu.org,https://planet.gnu.org,Webpage,GNU Project.txt,537
Rizin,"The Rizin project is a fork of the famous Radare2 project that started in 2006. Since then the codebase has been rewritten multiple times, modularized and extended to support many new features. The Rizin project aims to provide stability, focus on the most important features, and provide a user friendly interface. Along with Cutter - a Qt-based GUI and the RzGhidra decompiler it makes the effective tool for everyday reversing tasks.

Rizin is composed of a hexadecimal editor at its core, with support for several architectures and binary formats. It features code analysis capabilities, scripting, data and code visualization through graphs and other means, a visual mode, easy UNIX integration, a binary diffing engine for code and data, a shellcode compiler, multi-platform debug with reverse debug capabilities and much, much more!",Rizin reverse engineering framework and toolset,https://rizin.re,https://github.com/rizinorg,https://rizin.re/gsoc/2024/#project-ideas,https://rizin.re/gsoc/2024,LGPL-3.0,https://summerofcode.withgoogle.com/media/org/rizin/7ageygqfyv7wzlee-360.png,Security,"c, python, go, c++, qt","reverse engineering, computer security, debugging, emulation, disassembly","https://im.rizin.re, gsoc@rizin.re, https://twitter.com/rizinorg","https://im.rizin.re, gsoc@rizin.re",https://twitter.com/rizinorg,Webpage,Rizin.txt,4238
DBpedia,DBpedia is a crowd-sourced community effort to extract structured information from Wikipedia and make this information available on the Web. It allows for a global and unified access to Knowledge Graphs.,Global and Unified Access to Knowledge Graphs.,https://www.dbpedia.org/,https://github.com/dbpedia/,https://forum.dbpedia.org/tag/gsoc2024-ideas,https://docs.google.com/document/d/e/2PACX-1vQA3I-8JnxH78UOyVhVy1cpDCxwWvqs8BCN9YsR8UqOBiA-OigrSFd9SvTd2AuWdko1TSPtjip6NM65/pub,Apache-2.0,https://summerofcode.withgoogle.com/media/org/dbpedia/cgjegpmawtu5fr6w-360.png,"Science and medicine, Data","python, javascript, java, scala, rdf","semantic web, linked data, knowledge graph, data extraction, largelanguagemodel","https://dbpedia.slack.com/, https://forum.dbpedia.org/, dbpedia@infai.org, https://www.dbpedia.org/blog/, https://twitter.com/dbpedia","https://dbpedia.slack.com/, https://forum.dbpedia.org/, dbpedia@infai.org","https://www.dbpedia.org/blog/, https://twitter.com/dbpedia",Webpage,DBpedia.txt,182
AsyncAPI,"AsyncAPI is an Open-Source tool to easily build and maintain your event-driven architecture. All are powered by the AsyncAPI specification, the industry standard for defining asynchronous APIs.",Building the future of Event-Driven Architectures,https://www.asyncapi.com/,https://github.com/asyncapi,https://github.com/asyncapi/community/blob/master/mentorship/summerofcode/2024/asyncapi-gsoc-ideas-page.md,https://github.com/asyncapi/community/blob/master/CONTRIBUTING.md,Apache-2.0,https://summerofcode.withgoogle.com/media/org/asyncapi/gmnlfvngjaqxjxio.png,"Programming languages, Infrastructure and cloud","javascript, java, go, typescript, RAML","web, api, cloud, Architectures","https://asyncapi.com/slack-invite, https://twitter.com/AsyncAPISpec",https://asyncapi.com/slack-invite,https://twitter.com/AsyncAPISpec,Webpage,AsyncAPI.txt,973
GNU Radio,"GNU Radio is a free & open-source software development toolkit that provides signal processing blocks to implement software radios. It can be used with readily-available low-cost external RF hardware to create software-defined radios, or without hardware in a simulation-like environment. It is widely used in research, industry, academia, government, and hobbyist environments to support both wireless communications research and real-world radio systems.

In brief, a software radio is a radio system which performs the required signal processing in software instead of using dedicated integrated circuits in hardware. The benefit is that since software can be easily replaced in the radio system, the same hardware can be used to create many kinds of radios for many different communications standards; thus, one software radio can be used for a variety of applications!

You can use GNU Radio to write applications to receive and transmit data with radio hardware, or to create entirely simulation-based applications. GNU Radio has filters, channel codes, synchronization elements, equalizers, demodulators, vocoders, decoders, and many other types of blocks which are typically found in signal processing systems. More importantly, it includes a method of connecting these blocks and then manages how data is passed from one block to another. Extending GNU Radio is also quite easy; if you find a specific block that is missing, you can quickly create and add it.

GNU Radio applications can be written in either C++ or Python, while the performance-critical signal processing path is implemented in C++ using processor floating-point extensions where available. This enables the developer to implement real-time, high-throughput radio systems in a simple-to-use, rapid-application-development environment.",The free & open software radio ecosystem,https://www.gnuradio.org,https://github.com/gnuradio/gnuradio,https://wiki.gnuradio.org/index.php?title=GSoCIdeas,https://www.gnuradio.org/gsoc/,GPL-3.0,https://summerofcode.withgoogle.com/media/org/gnu-radio/v1g5y6exzlwgfulv-360.png,Science and medicine,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio","https://lists.gnu.org/mailman/listinfo/discuss-gnuradio, https://chat.gnuradio.org/#/welcome, https://twitter.com/gnuradio, https://www.gnuradio.org/blog/","https://lists.gnu.org/mailman/listinfo/discuss-gnuradio, https://chat.gnuradio.org/#/welcome","https://twitter.com/gnuradio, https://www.gnuradio.org/blog/",Webpage,GNU Radio.txt,1749
Haskell.org,"Haskell is an advanced, general-purpose, purely functional programming language.  It has a strong, static type system with Hindley-Milner type inference.

The language natively supports lazy evaluation, and lets you track side effects in the type system. This leads to a concise and declarative style of programming, which differs quite a bit from conventional languages. By controlling side effects and working with immutable data, the programmer can avoid whole classes of bugs.

Haskell generally compiles to fast, native code, but it can also be compiled to other targets like JavaScript (through GHCJS) or LLVM.

In Google Summer of Code, we attempt to improve not only the language, but the whole ecosystem. This includes (aside from the language itself):

- Compilers
- Commonly used libraries
- Commonly used applications written in Haskell
- Profilers, debuggers and other tools
- Package managers and infrastructure

We have compiled an ideas list together with long-time Haskell users, compiler contributors and researchers, and as such we believe these are important projects for the industry and academia both.",Purely functional programming language,https://haskell.org/,https://github.com/haskell/,https://summer.haskell.org/ideas.html,https://summer.haskell.org/tips.html,BSD-3-Clause,https://summerofcode.withgoogle.com/media/org/haskellorg/ivy7hfguqhoz8onp-360.png,"Programming languages, Development tools","haskell, ghc","compilers, programming languages, functional programming, programming tools","https://discourse.haskell.org/, committee@haskell.org, https://www.haskell.org/irc/, https://twitter.com/HaskellOrg, https://www.facebook.com/HaskellOrg/","https://discourse.haskell.org/, committee@haskell.org, https://www.haskell.org/irc/","https://twitter.com/HaskellOrg, https://www.facebook.com/HaskellOrg/",Webpage,Haskell.org.txt,3296
52°North Spatial Information Research GmbH,"52°North is an open source initiative in the field of geoinformatics. Core topics of our activities are for example sensor web, web-based geoprocessing and earth observation.",Innovative ideas & technologies in geoinformatics,https://52north.org/,https://github.com/52North,https://wiki.52north.org/Projects/GSoC2024ProjectIdeas,https://52north.org/software/contribute/,GPL-2.0,https://summerofcode.withgoogle.com/media/org/52north-spatial-information-research-gmbh/gzamo2sqfwcmcobt-360.png,"Science and medicine, Data","javascript, android, java, web services, ogc standards","citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation","gsoc-52n@52north.org, https://52n-gsoc.slack.com/ssb/redirect, gsoc@52north.org, https://twitter.com/fivetwon, https://blog.52north.org/","gsoc-52n@52north.org, https://52n-gsoc.slack.com/ssb/redirect, gsoc@52north.org","https://twitter.com/fivetwon, https://blog.52north.org/",Webpage,52°North Spatial Information Research GmbH.txt,2215
GRAME,"Faust (Functional Audio Stream) is a functional programming language for sound synthesis and audio processing with a strong focus on the design of synthesizers, musical instruments, audio effects, etc. Faust targets high-performance signal processing applications and audio plug-ins for a variety of platforms and standards.",Domain specific language for audio,https://faust.grame.fr,https://github.com/grame-cncm/faust,https://github.com/grame-cncm/faustideas,https://github.com/grame-cncm/faustideas,LGPL-2.1,https://summerofcode.withgoogle.com/media/org/grame/joff5sziiuapvits-360.png,"Programming languages, Media","c, python, javascript, c++, typescript","audio, compiler, digital signal processing, function programming language","https://discord.gg/vzh7CggBtj, research@grame.fr, https://faust.grame.fr/community/help/, https://github.com/grame-cncm/faustideas","https://discord.gg/vzh7CggBtj, research@grame.fr, https://faust.grame.fr/community/help/",https://github.com/grame-cncm/faustideas,Webpage,GRAME.txt,7077
"Stratosphere Laboratory, Czech Technical University in Prague","Stratosphere is a cybersecurity research laboratory at the AI Center, FEE, Czech Technical University in Prague, working at the intersection of cybersecurity, machine learning, and helping others.",Using machine learning and security to help others,https://www.stratosphereips.org/,https://github.com/stratosphereips/,https://github.com/stratosphereips/Google-Summer-of-Code/blob/main/list_of_ideas.md,https://github.com/stratosphereips/Google-Summer-of-Code/blob/main/contributor_guide.md,GPL-2.0,https://summerofcode.withgoogle.com/media/org/stratosphere-laboratory-czech-technical-university-in-prague/94v2dwoajljheoba-360.png,"Data, Security","python, redis, docker, textual","machine learning, network security, civil society, Security Defense","https://discord.com/invite/zu5HwMFy5C, stratosphere@aic.fel.cvut.cz, https://www.stratosphereips.org/blog, https://twitter.com/StratosphereIPS, https://infosec.exchange/@stratosphere","https://discord.com/invite/zu5HwMFy5C, stratosphere@aic.fel.cvut.cz","https://www.stratosphereips.org/blog, https://twitter.com/StratosphereIPS, https://infosec.exchange/@stratosphere",Webpage,"Stratosphere Laboratory, Czech Technical University in Prague.txt",1274
