idea title,idea description,skills,difficulty,duration,organization,ideas_link,logo,duration_length
Move existing tests to a unit testing framework,"Git has a lot of test cases that need to be migrated to use a new unit testing framework. This typically involves moving code from both: a “t/helper/test-* .c” test helper in C, and a “t/*.sh” test script in shell that invokes the test helper over to a single “t/unit-tests/t-* .c” in C using the unit testing framework. Our Outreachy intern ported some of the unit tests. Note: Owing to additional care needed to convert reftable unit tests in t0032-reftable-unittest.sh, it is covered as a separate project below. So, this project solely focuses on unit tests other than the reftable ones. See: this discussion https://lore.kernel.org/git/cover.1692297001.git.steadmon@google.com/ https://lore.kernel.org/git/20240112102743.1440-1-ach.lumap@gmail.com/ https://lore.kernel.org/git/20240205162506.1835-1-ach.lumap@gmail.com/ https://lore.kernel.org/git/20240112102122.1422-1-ach.lumap@gmail.com/ https://github.com/git/git/blob/master/Documentation/technical/unit-tests.txt","['C', ' shell (bash)']",Medium,175 hours or 350 hours,Git,https://git.github.io/SoC-2024-Ideas/,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,22
Convert reftable unit tests to use the unit testing framework,The “reftable” unit tests in t0032-reftable-unittest.sh predate the unit testing framework that was recently introduced into Git. These tests should be converted to use the new framework. See: this discussion https://lore.kernel.org/git/cover.1692297001.git.steadmon@google.com/ https://github.com/git/git/blob/master/Documentation/technical/unit-tests.txt https://git-scm.com/docs/reftable,"['C', ' shell (bash)']",Low,175 hours or 350 hours,Git,https://git.github.io/SoC-2024-Ideas/,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,22
Implement consistency checks for refs,"The git-fsck(1) command is used to check various data structures for consistency. Notably missing though are consistency checks for the refdb. While git-fsck(1) implicitly checks some of the properties of the refdb because it uses its refs for a connectivity check, these checks aren’t sufficient to properly ensure that all refs are properly consistent. The goal of this project would be to introduce consistency checks that can be implemented by the ref backend. Initially these checks may only apply to the “files” backend. With the ongoing efforts to upstream a new “reftable” backend the effort may be extended. See: https://lore.kernel.org/git/6cfee0e4-3285-4f18-91ff-d097da9de737@rd10.de/ https://lore.kernel.org/git/cover.1706601199.git.ps@pks.im/ https://git-scm.com/docs/reftable","['C', ' shell (bash)']",Medium,175 hours or 350 hours,Git,https://git.github.io/SoC-2024-Ideas/,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,22
Refactor git-bisect(1) to make its state self-contained,"The git-bisect(1) command is used to find a commit in a range of commits that introduced a specific bug. Starting a bisection run creates a set of state files into the Git repository which record various different parameters like “.git/BISECT_START”. These files look almost like refs due to their names being all-uppercase. This has led to confusion with the new “reftable” backend because it wasn’t quite clear whether those files are in fact refs or not. As it turns out they are not refs and should never be treated like one. Overall, it has been concluded that the way those files are currently stored is not ideal. Instead of having a proliferation of files in the Git directory, it was discussed whether the bisect state should be moved into its own “bisect-state” subdirectory. This would make it more self-contained and thereby avoid future confusion. It is also aligned with the sequencer state used by rebases, which is neatly contained in the “rebase-apply” and “rebase-merge” directories. The goal of this project would be to realize this change. While rearchitecting the layout should be comparatively easy to do, the harder part will be to hash out how to handle backwards compatibility. See: https://lore.kernel.org/git/Za-gF_Hp_lXViGWw@tanuki/","['C', ' shell (bash)']",Medium,175 hours or 350 hours,Git,https://git.github.io/SoC-2024-Ideas/,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,22
Implement support for reftables in “dumb” HTTP transport,"Fetching Git repositories uses one of two major protocols: The “dumb” protocol works without requiring any kind of interactive negotiation like a CGI module. It can thus be served by a static web server. The “smart” protocol works by having the client and server exchange multiple messages with each other. It is more efficient, but requires support for Git in the server. While almost all servers nowadays use the “smart” protocol, there are still some that use the “dumb” protocol. The “dumb” protocol cannot serve repositories which use the “reftable” backend though. While there exists an “info/refs” file that is supposed to be backend-agnostic, this file does not contain information about the default branch. Instead, clients are expected to download the “HEAD” file and derive the default branch like that. This file is a mere stub in the “reftable” backend though, which breaks this protocol. The goal of this project is to implement “reftable” support for “dumb” fetches. See: https://git-scm.com/docs/reftable","['C', ' shell (bash)']",Medium,175 hours or 350 hours,Git,https://git.github.io/SoC-2024-Ideas/,https://summerofcode.withgoogle.com/media/org/git/mbqqznjbaohwgq80-360.png,22
OpenVINO Extension for Automatic1111 Stable Diffusion WebUI,"Automatic1111 is a powerful web user interface based on Gradio library specifically designed for Stable Diffusion. It's most popular open-source Stable Diffusion WebUI on GitHub with 119K+ stars, which supports a lot of features like text-to-image, image-to-image, inpainting, Lora models, custom models from model hubs like civitai.com and huggingface etc. OpenVINO support for Automatic1111 enables Stable Diffusion run on Intel CPUs and GPUs, this solution is currently supported using a custom script. Implementing OpenVINO through the Automatic1111 extension will provide an easier way to use OpenVINO. This project will also aim to provide support for more AUTOMATIC111 features with OpenVINO.","['Python', ' good understanding of Stable diffusion architectures', ' experience with Hugging Face and Diffusers libraries', ' experience with PyTorch (OpenVINO is a plus)', ' Git']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Inference of Neural model in Node.js environment using OpenVINO,"There is a new OpenVINO NPM package. You can work with a neural model directly from your Node.js application now. We propose to rework existing samples that use Python API to Node.js API, or even implement new examples using VINO JS API.","['JavaScript', ' Node.js', ' Python']",Easy to medium,90 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,8
Desktop Chat-Bot application,Neural Language Model can work locally without the internet. You will write your own Chatbot desktop cross-platform application using OpenVINO and Electron (or analogs). The Chatbot may be general or crafted to your needs (subject to the NLP model).,"['JavaScript', ' Electron']",Medium,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
Add Image-to-Image and Image-to-Text generation with GUI support for OpenVINO GenAI,"Currently, openvino.genai has C++ image generation pipeline with Stable Diffusion and LCM, but only Text-to-Image is supported. This project would add Image-to-Image generation and Image-to-Text generation support with C++ cross platform GUI.","['C++ programming', ' knowledge of PyTorch and Qt Creator']",Medium,175 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
OpenVINO CPU plugin functional test cases WASM enablement,"OpenVINO has supported WASM build, but there are hundreds of thousands of CPU plugin functional test cases that cannot run based on WASM build due to there are many native issues that need to be resolved, such as multi-threads, local file access, dynamic libraries, memory sharing. We propose talents to participate in this activity to enable more WASM tests of the OpenVINO CPU plugin.","['C++', ' JS', ' WASM and Emscripten']",Medium to hard,350 hours,OpenVINO Toolkit,https://github.com/openvinotoolkit/openvino/wiki/Google-Summer-Of-Code,https://summerofcode.withgoogle.com/media/org/openvino-toolkit/ivzvok335ujezk2z-360.png,9
